"","town11cd","town11nm","population_2011","size_flag","rgn11nm","coastal","coastal_detailed","ttwa11cd","ttwa11nm","ttwa_classification","job_density_flag","income_flag","university_flag","level4qual_residents35_64_2011","ks4_2012_2013_counts","key_stage_2_attainment_school_year_2007_to_2008","key_stage_4_attainment_school_year_2012_to_2013","level_2_at_age_18","level_3_at_age_18","activity_at_age_19_full_time_higher_education","activity_at_age_19_sustained_further_education","activity_at_age_19_appprenticeships","activity_at_age_19_employment_with_earnings_above_0","activity_at_age_19_employment_with_earnings_above_10_000","activity_at_age_19_out_of_work","highest_level_qualification_achieved_by_age_22_less_than_level_1","highest_level_qualification_achieved_by_age_22_level_1_to_level_2","highest_level_qualification_achieved_by_age_22_level_3_to_level_5","highest_level_qualification_achieved_by_age_22_level_6_or_above","highest_level_qualification_achieved_b_age_22_average_score","education_score"
"1","E34000007","Carlton in Lindrick BUA",5456,"Small Towns","East Midlands","Non-coastal","Smaller non-coastal town","E30000291","Worksop and Retford","Majority town and city (small)","Residential","Higher deprivation towns","No university","Low",65,65,70.7692307692308,72.3076923076923,50.7692307692308,30.7692307692308,21.5384615384615,NA,52.3076923076923,36.9230769230769,NA,NA,34.9,39.7,NA,3.32307692307692,-0.533750422
"2","E34000016","Dorchester (West Dorset) BUA",19060,"Small Towns","South West","Non-coastal","Smaller non-coastal town","E30000046","Dorchester and Weymouth","Majority town and city (small)","Working","Mid deprivation towns","No university","Medium",239,69.0582959641256,71.1297071129707,85.7142857142857,60.0840336134454,41.8410041841004,13.3891213389121,10.0418410041841,51.0460251046025,24.6861924686192,4.18410041841004,NA,21.7,44.6,33.3,3.73221757322176,1.952018749
"3","E34000020","Ely BUA",19090,"Small Towns","East of England","Non-coastal","Smaller non-coastal town","E30000186","Cambridge","Majority town and city (Large Towns)","Working","Lower deprivation towns","No university","Medium",155,71.4285714285714,56.1290322580645,83.8709677419355,45.8064516129032,35.4838709677419,10.9677419354839,7.74193548387097,57.4193548387097,27.741935483871,NA,NA,34.4,31.2,32.5,3.54838709677419,-1.044127985
"4","E34000026","Market Weighton BUA",6429,"Small Towns","Yorkshire and The Humber","Non-coastal","Smaller non-coastal town","E30000220","Hull","Majority town and city (Large Towns)","Residential","Lower deprivation towns","No university","Medium",58,70.9677419354839,53.448275862069,91.2280701754386,49.1228070175439,25.8620689655172,25.8620689655172,NA,58.6206896551724,31.0344827586207,NA,NA,NA,66.1,NA,3.48275862068966,-1.249261949
"5","E34000027","Downham Market BUA",10884,"Small Towns","East of England","Non-coastal","Smaller non-coastal town","E30000225","King's Lynn","Majority rural","Mixed","Higher deprivation towns","No university","Low",93,78.0487804878049,62.3655913978495,78.494623655914,40.8602150537634,26.8817204301075,20.4301075268817,15.0537634408602,55.9139784946236,30.1075268817204,15.0537634408602,NA,32.6,44.2,NA,3.16129032258065,-1.169078452
"6","E34000039","Penrith BUA",15181,"Small Towns","North West","Non-coastal","Smaller non-coastal town","E30000106","Penrith","Majority rural","Working","Lower deprivation towns","No university","Low",158,73.8562091503268,74.0506329113924,91.1392405063291,46.2025316455696,31.6455696202532,16.4556962025316,12.6582278481013,62.0253164556962,37.3417721518987,7.59493670886076,NA,29.4,40,28.1,3.4746835443038,0.84513109
"7","E34000048","Bolsover BUA",11754,"Small Towns","East Midlands","Non-coastal","Smaller non-coastal town","E30000190","Chesterfield","Majority town and city (Large Towns)","Residential","Higher deprivation towns","No university","Low",118,70.9090909090909,50,76.271186440678,37.2881355932203,21.1864406779661,27.1186440677966,20.3389830508475,50.8474576271186,26.271186440678,11.864406779661,NA,34.5,47.9,NA,3.10169491525424,-3.717919688
"8","E34000055","March BUA",21051,"Medium Towns","East of England","Non-coastal","Large non-coastal town","E30000287","Wisbech","Majority town and city (small)","Residential","Higher deprivation towns","No university","Low",235,71.063829787234,57.4468085106383,84.2553191489362,40.4255319148936,25.531914893617,17.4468085106383,10.2127659574468,47.6595744680851,26.8085106382979,6.80851063829787,NA,37.8,37.8,23.6,3.28510638297872,-2.171307159
"9","E34000056","Southam BUA",6567,"Small Towns","West Midlands","Non-coastal","Smaller non-coastal town","E30000228","Leamington Spa","Majority town and city (small)","Working","Lower deprivation towns","No university","Medium",92,81.9277108433735,91.304347826087,90.2173913043478,67.3913043478261,38.0434782608696,21.7391304347826,16.304347826087,52.1739130434783,25,NA,NA,19.6,47.8,32.6,3.84782608695652,6.437661398
"10","E34000067","Royston BUA",15781,"Small Towns","East of England","Non-coastal","Smaller non-coastal town","E30000186","Cambridge","Majority town and city (Large Towns)","Working","Lower deprivation towns","No university","Medium",169,73.0337078651685,65.0887573964497,82.2485207100592,53.8461538461538,23.6686390532544,21.8934911242604,14.2011834319527,57.9881656804734,39.0532544378698,NA,NA,23.7,50.9,23.7,3.38461538461538,0.29540337
